"","xml_link","title.x","description","show_link","number_episodes","explicit","birthday","zodiac","podcast_id","average_rating","ratings_count","categories"
"29","https://feeds.simplecast.com/FMUd4fE9","Business of Home Podcast","Business of Home's host Dennis Scully interviews thought leaders, entrepreneurs, and creatives about the changes and challenges facing the interior design community.","https://businessofhome.com/podcasts.rss",244,"not explicit","Fri, 9 Mar 2018 10:00:00 +0000","Pisces","00f19169121294ca0c4dcf1298e1aa66",5,76,"arts-design, business-entrepreneurship, business, arts"
"30","https://herstoryofsuccess.libsyn.com/rss","Her Story of Success","At Her Story of Success, we know that no two paths are alike. Join us as we interview influential women trailblazers, entrepreneurs, artists and business leaders who share their stories of defining and pursuing success in hopes of inspiring you along your own journey.","https://www.herstoryofsuccess.com/listen",112,"not explicit","Tue, 10 Apr 2018 03:17:12 +0000","Aries","0152187b6047000d77d275c916621646",5,67,"business-management, business-careers, business"
"31","https://www.spreaker.com/show/3181788/episodes/feed","Kicking it with Kris and Karlos","We are Black, gay, married, and funny as fuck! This podcast keeps it real and is not politically correct! We go over current topics and have several segments including ""The Caucasity"" and the ""Karen Calling The Cops"". Join us twice a week and make sure you follow us on Instagram @KrisandKarlos","https://www.spreaker.com/show/kicking-it-with-kris-and-karlos",74,"explicit","Mon, 28 Sep 2020 17:12:29 +0000","Libra","019fee88df1c699c1c2d19e7e2c308b8",5,50,"comedy"
"40","https://pinecast.com/feed/gaylords-of-darkness","Gaylords of Darkness","When the clock strikes 6:66, the Gaylords of Darkness (Anthony Hudson & Stacie Ponder) come forth to chart the arcane world of horror through a queer lens - with occasional visits from ghouls, goblins, and briefcase women from the 1980s.","https://gaylords-of-darkness.pinecast.co",223,"explicit","Wed, 26 Sep 2018 10:36:00 -0000","Libra","044058b5cd8bec50fb156626a18807df",5,68,"society-culture, tv-film"
"43","http://podcast.randommovement.org/podcasts/R_m-podcast.xml","Random Movement Podcast","Random Movement's Podcast, featuring the latest and greatest drum & bass tracks from top-notch producers as well as new up-and-coming talent, compiled into a continuous DJ mix by Random Movement.","http://www.randommovement.org",145,"not explicit","Tue, 15 Sep 2009 10:13:24 -0400","Virgo","04d8830a67b2216ac56d6d270a919cae",5,86,"music, technology"
"45","https://feed.pod.co/you-me-empathy-sharing-our-mental-health-stories","You, Me, Empathy","<p>You, Me, Empathy<b> </b>is the official podcast of The Feely Human Collective.<b> </b>On this show, we explore the struggles, the triumphs, the brights and the darks we face as humans trying to be human on this wondrous and overwhelming pale blue dot.</p>

<p>You, Me, Empathy was created so that we can be witness to our collective humanity through the lens of empathy, vulnerability, and emotional curiosity. We aim to destigmatize mental health, lead fiercely with our hearts, feel our feelings without shame and judgment, and share our courageous stories so that others may feel less alone and more connected as feely humans.</p>

<p>You, Me, Empathy is a brave place designed to inspire the beauty in each of us, because each of us, in all of our kaleidoscopic parts, makes up a magical whole that deserves to be seen.</p>

<p>Created and hosted by Nōn Wels (he/him), feely human, writer, and doggo lover.</p>

<p><i>The You, Me, Empathy podcast is for informational and/or entertainment purposes only and is not a substitute for medical advice, diagnosis, or treatment.</i></p>","https://feelyhuman.co/",253,"explicit","Mon, 01 Jan 2018 14:00:00 +0000","Capricorn","05b40d3f50d312e1481441eb89dc14c3",5,61,"health-fitness-alternative-health, health-fitness, health-fitness-mental-health"
"48","https://feeds.feedburner.com/AirplaneOwnerMaintenance","Airplane Owner Maintenance - By Dean Showalter","A podcast devoted to airplane owners and the maintenance of their airplanes.","https://airplaneownermaintenance.com",125,"not explicit","Sun, 29 Jul 2018 01:58:53 +0000","Leo","06394eec696e4adddeb6796db47c7e85",5,55,"business, education"
"55","https://sailon.podbean.com/feed.xml","Sail On: The Beach Boys Podcast","Leading you further and further down the Beach Boys rabbit hole as gently and as thoroughly as humanly possible since 2017!","https://sailon.podbean.com",78,"not explicit","Mon, 13 Nov 2017 13:17:02 -0500","Scorpio","0ae77c2e0d193403f616f3e5f4b43263",5,76,"music-music-commentary, music-music-history, music"
"56","https://tracyotsuka.libsyn.com/rss","ADHD for Smart Ass Women with Tracy Otsuka","I have NEVER met an ADHD woman who wasn't truly brilliant at something! 
*
*
This podcast with over 3 million downloads is for smart, high-ability ADD/ADHD (diagnosed or suspecting) women who see their symptoms as more positive than negative. If you want to fall in love with your ADHD brain and discover where your brilliance lies, this podcast is for you! 
*
*
ADHD for Smart Ass Women is globally ranked in the top one-half percent of all podcasts in the world on any subject. It's streamed in more than 160 countries and is downloaded by more than 150,000 listeners every month.
*
*
I’m Tracy Otsuka your host. I'm a lawyer, not a doctor, a life-long learner and a certified ADHD coach. I’m committed to changing the conversation around ADHD. 
*
*
When I was diagnosed eight months after my son, my entire life suddenly made perfect sense but all I heard and read about was everything that my ADHD brain SHOULD be struggling with when in fact I would come to learn that my ADHD is responsible for some of my greatest superpowers. 
*
*
One other thing, we constantly hear about all the successful ADHD men, but no one talks about the women. This podcast is here to change that dynamic. ADHD women are my people, and I’m here to acknowledge, support and cheer them on.
*
*
*THE CONTENT IN THIS PODCAST IS NOT INTENDED TO BE A SUBSTITUTE FOR PROFESSIONAL MEDICAL ADVICE, DIAGNOSIS OR TREATMENT AND DOES NOT CONSTITUTE MEDICAL OR PROFESSIONAL ADVICE. NEVER DISREGARD PROFESSIONAL MEDICAL ADVICE OR DELAY IN SEEKING IT BECAUSE OF ANYTHING YOU HAVE SEEN OR HEARD FROM TRACY OTSUKA OR THIS PODCAST.","https://www.tracyotsuka.com/podcast",223,"not explicit","Mon, 19 Nov 2018 23:16:56 +0000","Scorpio","0b474b6a427ba28daea8f2962636080c",5,64,"health-fitness-alternative-health, health-fitness-medicine, health-fitness"
"62","https://feeds.buzzsprout.com/1321837.rss","Digital Good Times","Digital Good Times is a grassroots tech empowerment media company. We are a beacon/platform for a black and brown demographic of content creators, designers, enthusiasts, artists, musicians and techies worldwide. www.digigoodtimes.com","http://www.digigoodtimes.com",94,"explicit","Tue, 28 Oct 2014 09:18:22 -0400","Scorpio","0f349347d28596bf232af126f23ebcd2",5,56,"technology, society-culture"
